"","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases","Rubella - number of reported cases"
"Finland","0","0","5","","0","","2","0","0","0","0","1","0","0","0","4","0","","","",""
"Gabon","0","3","62","137","5","2","4","2","40","55","0","0","3","63","","","","0","","",""
"Gambia","0","4","1","35","66","39","42","14","0","0","0","10","0","30","0","0","","","","",""
"Georgia","5","11","100","149","224","75","64","59","67","188","225","482","1841","4809","838","420","293","428","799","",""
"Germany","74","95","90","151","","","","","","","","","","","","","","","","",""
"Ghana","17","11","12","26","168","272","712","","133","459","175","344","209","146","252","25","","","","",""
"Greece","0","0","0","0","0","0","0","0","4","0","0","","16","2","","14","14","12","1439","",""
"Grenada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"Guatemala","0","0","0","0","0","0","0","0","0","0","0","11","4","36","5","19","62","276","0","45","101"
"Guinea","168","289","4","8","10","55","34","3","7","88","26","26","","9","28","","0","","","",""
"Guinea-Bissau","0","0","","3","0","23","3","0","0","0","0","0","","","","","","","","",""
"Guyana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","2","144"
"Haiti","0","","0","0","0","0","0","0","0","0","0","11","0","3","2","1","","","","","0"
"Honduras","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","9","201","1108","399","170"
"Hungary","0","0","0","0","0","7","3","0","0","0","0","22","32","36","47","42","65","107","97","",""
"Iceland","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","","0","0","","",""
"India","2748","8274","3252","4870","3698","1232","","","","","","","","","","","","","","",""
"Indonesia","1264","1238","2156","3542","2355","1020","1959","1323","2090","340","168","105","","","","","","","","",""
"Iran (Islamic Republic of)","20","18","45","14","32","30","20","24","11","14","20","","","","","","","1154","","",""
"Iraq","2","1","2","8","30","22","18","15","167","110","51","72","99","383","","","91","1612","4127","",""
"Ireland","0","","6","3","0","10","6","29","23","42","19","14","17","49","58","31","57","","62","",""
"Israel","1","1","1","0","1","1","1","1","6","5","3","4","23","11","7","1","5","54","4","",""
"Italy","31","","16","","","85","84","47","106","4847","429","208","171","363","1424","5830","","2605","1129","",""
"Jamaica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","49"
"Japan","90","126","163","320","14359","2353","369","89","148","303","","509","","2794","2794","2561","3123","3120","","",""
"Jordan","0","0","0","1","1","0","1","0","2","1","3","150","13879","7647","6","1","2","165","443","",""
"Kazakhstan","0","4","2","152","36","13","44","3","622","3350","2692","2461","8783","15103","18139","30541","29271","14989","7645","",""
"Kenya","14","331","422","651","299","","610","473","1305","1280","387","517","341","1068","811","","204","","","",""
"Kiribati","0","","","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","",""
"Kuwait","1","","1","12","4","13","38","26","","","","","75","65","","","","87","146","",""
"Kyrgyzstan","4","3","100","24","12","6","3","2","14","4","3","11","1","7","5","274","2328","176","385","",""
"Lao People's Democratic Republic","10","40","45","2","83","78","169","31","124","45","1","","","","","","","","","",""
"Latvia","0","0","0","1","0","8","2","0","7","9","7","12","35","52","309","2578","358","62","91","",""
"Lebanon","10","10","9","18","27","3","4","5","21","18","32","16","13","120","6","11","1","5","5","",""
"Lesotho","8","11","129","296","516","68","172","","0","0","","4","","","84","","","","0","",""
"Liberia","239","0","0","0","0","39","0","0","30","40","3","","0","0","","","","","","",""
"Libya","7","0","","5","","1","","","3","1","1","1","10","30","","217","26","","","",""
"Lithuania","0","0","0","0","2","0","0","2","0","0","13","110","118","93","170","277","458","1304","","",""
"Luxembourg","0","0","0","","0","1","0","0","0","0","0","0","","0","","","","0","","",""
"Madagascar","223","204","89","162","131","110","196","157","193","73","68","127","","","","","","","","",""
"Malawi","26","33","99","433","23","56","267","28","53","105","136","0","51","59","6","6","19","","","",""
"Malaysia","116","68","34","230","1138","789","374","104","","","","","","","","","","","","",""
"Maldives","1","0","3","0","0","0","1","4","0","","","0","3","","81","","","","","",""
"Mali","19","81","172","19","19","19","125","64","8","33","6","9","18","1","6","","","","","",""
"Malta","0","0","0","0","","","1","0","0","3","2","1","6","0","4","2","0","6","8","",""
"Marshall Islands","","","","","","0","0","0","0","","0","0","0","","0","0","0","0","0","",""
"Mauritania","","0","5","49","61","","","","","10","0","0","","","","","","","","",""
"Mauritius","0","0","5","6","10","9","4","2","2","3","6","3","3","","","","","0","","",""
"Mexico","0","0","0","0","0","2","0","0","0","46","102","74","38","699","35","3685","4843","11751","17180","51846","38042"
"Micronesia (Federated States of)","0","0","0","0","","","","","0","","0","0","0","0","0","","0","","0","",""
"Monaco","","","","","","","","","","","","","","","5","","","","","",""
"Mongolia","11","48","28","1","8","240","13","11","3","167","6363","1229","6","36","13","148","1869","1550","3","",""
"Montenegro","0","0","","","0","0","0","3","0","0","0","0","","","","","","","","",""
"Morocco","","","6","0","59","3","8","5","","","","","","","","","","","","",""
"Mozambique","102","","","210","127","428","143","70","69","166","","","","","","","","","","",""
"Myanmar","6","10","34","30","23","21","103","11","13","5","2","0","0","","","","","","","",""
"Namibia","29","37","625","357","40","42","140","22","27","0","0","9","103","874","209","1100","1272","","","",""
"Nauru","","","","","","","0","","0","0","0","0","","0","","0","0","0","","",""
"Nepal","21","656","626","704","755","801","1175","510","1275","781","227","","","","","","","","","",""
"Netherlands","0","0","1","2","58","1","2","0","8","2","1","11","364","46","1","3","","12","3","",""
"New Zealand","0","3","0","4","1","4","22","2","2","","10","8","13","25","28","33","26","26","37","",""
"Nicaragua","0","0","0","0","0","0","0","0","0","0","0","0","47","6","5","133","219","326","393","255","267"
"Niger","10","24","33","8","6","77","19","5","11","55","10","10","","131","","","","","","",""
"Nigeria","543","503","419","102","88","239","3691","450","234","422","466","","","","","","","","","",""
"Niue","","","","","0","0","0","0","0","0","0","","0","0","40","0","0","0","0","",""
"Norway","0","0","0","3","3","1","2","0","0","1","","2","1","2","1","1","0","4","","",""
"Oman","2","6","0","","0","13","1","2","19","4","16","11","22","9","1","3","58","3","5","",""
"Pakistan","389","648","282","320","1113","483","189","","","","","","","","","","","","","",""
"Palau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","",""
"Panama","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","127","322","580","941","1783","1458"
"Papua New Guinea","1","1","4","84","5","33","19","5","19","4","4","","","","","","","","","",""
"Paraguay","0","0","0","0","0","0","0","0","0","0","0","0","2","1","11","1","9","96","32","73","5"
"Peru","0","0","0","0","0","0","0","0","0","0","0","727","3672","1759","328","420","1126","","88","712","1851"
"Philippines","2111","179","154","264","254","100","926","","578","280","","","0","25","","","1712","","21","",""
"Poland","476","1105","","","38546","6263","","4196","7586","","22890","20668","7946","4857","10588","40518","84419","46181","30958","",""
"Portugal","4","7","0","3","0","3","0","0","3","4","6","9","227","8","14","29","","58","57","",""
"Qatar","2","20","7","20","58","20","16","23","14","","26","34","36","","35","21","17","16","","",""
"Republic of Korea","4","11","3","11","17","27","53","21","37","31","35","18","12","15","8","12","131","153","","",""
"Republic of Moldova","0","0","0","0","0","3","0","0","1","1","3","14","32","170","508","7311","4508","2803","6474","",""
"Romania","9","13","8","30","145","20812","3494","350","343","1746","2958","3563","6801","47444","120377","11079","5076","5125","7076","",""
"Russian Federation","5","38","25","72","233","1003","349","547","1602","9618","30846","133289","144985","146220","125187","341345","574901","457378","585063","",""
"Rwanda","22","15","1","15","50","172","62","36","34","35","14","25","31","","10","0","","","0","",""
"Saint Kitts and Nevis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"Saint Lucia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0",""
"Saint Vincent and the Grenadines","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","","",""
"Samoa","2","","","","","0","1","0","0","","","0","0","0","1909","","0","","","",""
"San Marino","0","0","","","","0","0","0","0","48","5","0","1","1","0","","","11","","",""
"Sao Tome and Principe","0","0","3","","","","","","0","0","0","0","0","0","0","0","0","0","","",""
"Saudi Arabia","60","","4","23","1164","18","","35","12","15","32","23","18","22","22","12","38","","299","",""
"Senegal","7","135","15","101","44","44","141","50","55","161","81","24","12","242","29","","","","","",""
"Serbia","5","5","10","2","11","14","14","14","27","23","41","77","153","303","332","626","1333","2188","1498","",""
"Seychelles","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","",""
"Sierra Leone","358","97","10","","","","54","2","","44","9","6","","1","4","","","","","",""
"Singapore","15","","","","48","64","110","158","178","181","83","90","139","141","88","152","242","312","432","",""
"Slovakia","0","0","0","0","0","0","0","0","0","0","2","2","1","3","1","7","2","11","61","",""
"Slovenia","0","0","0","0","0","0","0","0","0","0","1","1","0","1","8","3","8","","","",""
"Solomon Islands","0","","","","0","","0","0","0","0","0","0","","","","0","0","","","",""
"Somalia","","","","1","","","","","","","","","","","","","","","","",""
"South Africa","1876","819","54","10","103","2298","3266","","2975","","1072","","428","612","2089","208","","541","","",""
"South Sudan","72","","47","0","","20","","","","","","","","","","","","","","",""
"Spain","1","2","3","5","2","64","30","9","20","70","69","87","592","","115","143","","345","534","",""
"Sri Lanka","1","0","9","10","24","54","416","68","143","79","5","2","16","6","34","","104","29","110","",""
"Sudan","259","996","1052","817","291","191","237","345","338","150","163","255","","","","","","","","",""
"Suriname","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","90","5"
"Sweden","0","0","0","0","0","50","4","3","1","0","2","2","0","0","0","1","3","1","","",""
"Switzerland","1","0","3","4","6","10","9","12","35","12","","","","","","","1200","","1400","",""
"Syrian Arab Republic","1","1","0","5","1","1","7","20","2","5","0","30","4","47","112","1","11","2","648","",""
"Tajikistan","9","2","1","0","0","1","0","6","179","124","705","46","1231","567","681","654","54","111","385","",""
"Thailand","34","7","240","152","539","493","517","387","594","621","341","498","382","379","490","667","879","1136","856","",""
"The former Yugoslav republic of Macedonia","0","","1","0","0","4","8","3","11","14","19","28","31","33","52","61","","87","120","",""
"Timor-Leste","3","8","5","1","0","8","0","","2","0","0","","0","","","","","","","",""
"Togo","37","276","","16","38","33","69","80","87","136","7","0","86","142","295","334","","","","",""
"Tonga","0","0","","","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","",""
"Trinidad and Tobago","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","41"
"Tunisia","11","19","25","17","15","615","1075","164","98","156","51","5","11","15","","","1012","","","",""
"Turkey","1","7","16","31","81","43","1734","64","97","139","644","1058","2245","","","","","","","",""
"Turkmenistan","0","0","0","0","0","0","0","0","0","0","15","","498","26","18","29","32","129","581","",""
"Tuvalu","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"Uganda","259","289","1055","291","7878","2027","3312","","","","605","","285","428","125","60","","","","",""
"Ukraine","160","150","248","","","1952","3667","2333","","3495","5822","15106","22248","31606","20201","162927","79373","37931","105137","",""
"United Arab Emirates","38","132","177","14","","30","","34","","70","","","43","10","60","29","59","52","92","",""
"United Kingdom of Great Britain and Northern Ireland","15","2","3","1","13","70","5","31","22","31","31","30","35","17","34","72","43","75","","",""
"United Republic of Tanzania","28","24","45","529","116","55","18","121","0","0","","87","151","234","109","175","","","","",""
"United States of America","","","5","6","9","9","4","5","3","16","12","11","11","10","7","18","23","176","267","364","181"
"Uruguay","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","3","8"
"Uzbekistan","0","0","0","0","0","","23","1","6","24","202","304","440","498","1810","1196","595","454","2447","",""
"Vanuatu","","","","","","","","","","","","","","","","0","0","","","",""
"Venezuela (Bolivarian Republic of)","0","0","0","0","0","0","0","0","0","0","62","188","823","96","36","3662","9014","13927","11391","30353","30707"
"Viet Nam","77","413","798","59","54","185","7259","2300","1573","873","3530","3403","3012","","","","","","","",""
"Yemen","41","56","162","1598","706","199","337","187","225","187","165","302","230","","","","","","","",""
"Zambia","16","34","94","74","183","134","1124","13","","257","93","0","165","157","0","","","","","",""
"Zimbabwe","4","2","0","1130","130","20","447","","28","63","242","","","","","","","","","",""
